Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,Illinois State University,Missouri Valley Football Conference,Football,IL,73,50,,
2011,2017-2018,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,81,65,,
2011,2017-2018,Indiana State University,Missouri Valley Football Conference,Football,IN,68,54,,
2011,2017-2018,"Indiana University, Bloomington",Big Ten Conference,Football,IN,83,68,,
2011,2017-2018,Iowa State University,Big 12 Conference,Football,IA,82,62,,
2011,2017-2018,University of Iowa,Big Ten Conference,Football,IA,80,64,,
2011,2017-2018,Jackson State University,Southwestern Athletic Conf.,Football,MS,70,44,,
2011,2017-2018,Jacksonville State University,Ohio Valley Conference,Football,AL,62,57,,
2011,2017-2018,Jacksonville University,Pioneer Football League,Football,FL,71,,,
2011,2017-2018,James Madison University,Colonial Athletic Association,Football,VA,78,75,,
2011,2017-2018,Kansas State University,Big 12 Conference,Football,KS,82,64,,
2011,2017-2018,University of Kansas,Big 12 Conference,Football,KS,78,62,,
2011,2017-2018,Kent State University,Mid-American Conference,Football,OH,76,62,,
2011,2017-2018,University of Kentucky,Southeastern Conference,Football,KY,74,54,,
2011,2017-2018,Lafayette College,Patriot League,Football,PA,97,75,,
2011,2017-2018,Lamar University,Southland Conference,Football,TX,69,59,,
2011,2017-2018,Lehigh University,Patriot League,Football,PA,83,78,,
2011,2017-2018,Liberty University,Independent,Football,VA,71,66,,
2011,2017-2018,Louisiana State University,Southeastern Conference,Football,LA,73,41,,
2011,2017-2018,Louisiana Tech University,Conference USA,Football,LA,65,53,,
2011,2017-2018,University of Louisville,Atlantic Coast Conference,Football,KY,86,77,,
2011,2017-2018,"University of Maine, Orono",Colonial Athletic Association,Football,ME,78,66,,
2011,2017-2018,Marist College,Pioneer Football League,Football,NY,84,100,,
2011,2017-2018,Marshall University,Conference USA,Football,WV,78,57,,
2011,2017-2018,"University of Maryland, College Park",Big Ten Conference,Football,MD,84,66,,
2011,2017-2018,"University of Massachusetts, Amherst",Independent,Football,MA,66,49,,
2011,2017-2018,McNeese State University,Southland Conference,Football,LA,78,75,,
2011,2017-2018,University of Memphis,American Athletic Conference,Football,TN,76,46,,
2011,2017-2018,Miami University (Ohio),Mid-American Conference,Football,OH,87,74,,
2011,2017-2018,University of Miami (Florida),Atlantic Coast Conference,Football,FL,82,59,,
